,Keywords,Dominant_Topic
0,2,5
1,2,5
2,5,2
3,0,1
4,2,5
5,5,2
6,2,5
7,2,5
8,2,5
9,2,5
10,0,1
11,2,5
12,2,5
13,4,0
14,5,2
15,1,4
16,2,5
17,2,5
18,2,5
19,0,1
20,1,4
21,0,1
22,1,4
23,2,5
24,5,2
25,2,5
26,2,5
27,0,1
28,2,5
29,2,5
30,1,4
31,1,4
32,2,5
33,0,1
34,2,5
35,5,2
36,4,0
37,2,5
38,0,1
39,0,1
40,5,2
41,0,1
42,0,1
43,0,1
44,2,5
45,5,2
46,2,5
47,4,0
48,2,5
49,0,1
50,2,5
51,3,3
52,2,5
53,0,1
54,5,2
55,1,4
56,2,5
57,3,3
58,1,4
59,5,2
60,0,1
61,5,2
62,0,1
63,2,5
64,5,2
65,4,0
66,5,2
67,0,1
68,2,5
69,5,2
70,3,3
71,2,5
72,4,0
73,4,0
74,2,5
75,2,5
76,2,5
77,2,5
78,5,2
79,5,2
80,5,2
81,2,5
82,2,5
83,0,1
84,5,2
85,2,5
86,2,5
87,2,5
88,1,4
89,2,5
90,2,5
91,2,5
92,2,5
93,5,2
94,1,4
95,2,5
96,3,3
97,2,5
98,2,5
99,1,4
100,0,1
101,0,1
102,2,5
103,1,4
104,1,4
105,2,5
106,1,4
107,1,4
108,2,5
109,4,0
110,2,5
111,1,4
112,2,5
113,2,5
114,4,0
115,5,2
116,2,5
117,2,5
118,1,4
119,1,4
120,1,4
121,1,4
122,1,4
123,0,1
124,3,3
125,2,5
126,2,5
127,2,5
128,1,4
129,4,0
130,3,3
131,2,5
132,1,4
133,2,5
134,1,4
135,5,2
136,1,4
137,1,4
138,3,3
139,3,3
140,1,4
141,1,4
142,0,1
143,5,2
144,3,3
145,4,0
146,3,3
147,2,5
148,2,5
149,2,5
150,3,3
151,1,4
152,3,3
153,2,5
154,3,3
155,1,4
156,1,4
157,2,5
158,2,5
159,0,1
160,0,1
161,1,4
162,1,4
163,5,2
164,1,4
165,3,3
166,3,3
167,2,5
168,1,4
169,0,1
170,4,0
171,1,4
172,1,4
173,2,5
174,1,4
175,1,4
176,1,4
177,1,4
178,2,5
179,0,1
180,4,0
181,1,4
182,1,4
183,0,1
184,2,5
185,2,5
186,2,5
187,2,5
188,2,5
189,2,5
190,1,4
191,3,3
192,2,5
193,1,4
194,2,5
195,2,5
196,2,5
197,2,5
198,2,5
199,1,4
200,1,4
201,2,5
202,2,5
203,1,4
204,3,3
205,1,4
206,1,4
207,2,5
208,2,5
209,2,5
210,4,0
211,1,4
212,5,2
213,5,2
214,2,5
215,5,2
216,2,5
217,2,5
218,2,5
219,5,2
220,3,3
221,2,5
222,5,2
223,5,2
224,1,4
225,3,3
226,1,4
227,1,4
228,1,4
229,0,1
230,2,5
231,5,2
232,1,4
233,2,5
234,0,1
235,3,3
236,0,1
237,2,5
238,1,4
239,0,1
240,2,5
241,2,5
242,5,2
243,2,5
244,2,5
245,3,3
246,3,3
247,3,3
248,3,3
249,0,1
250,5,2
251,2,5
252,1,4
253,2,5
254,2,5
255,0,1
256,1,4
257,2,5
258,1,4
259,2,5
260,5,2
261,0,1
262,0,1
263,2,5
264,0,1
265,0,1
266,2,5
267,2,5
268,0,1
269,2,5
270,4,0
271,2,5
272,0,1
273,1,4
274,3,3
275,0,1
276,2,5
277,2,5
278,2,5
279,1,4
280,5,2
281,2,5
282,5,2
283,5,2
284,1,4
285,5,2
286,5,2
287,0,1
288,0,1
289,4,0
290,2,5
291,2,5
292,2,5
293,1,4
294,2,5
295,2,5
296,2,5
297,2,5
298,1,4
299,2,5
300,1,4
301,1,4
302,1,4
303,2,5
304,2,5
305,3,3
306,3,3
307,3,3
308,0,1
309,5,2
310,2,5
311,1,4
312,2,5
313,0,1
314,0,1
315,0,1
316,3,3
317,0,1
318,1,4
319,0,1
320,0,1
321,2,5
322,0,1
323,2,5
324,2,5
325,2,5
326,3,3
327,0,1
328,2,5
329,0,1
330,2,5
331,5,2
332,0,1
333,0,1
334,0,1
335,0,1
336,0,1
337,1,4
338,2,5
339,1,4
340,2,5
341,1,4
342,2,5
343,2,5
344,1,4
345,2,5
346,5,2
347,4,0
348,1,4
349,2,5
350,2,5
351,2,5
352,2,5
353,2,5
354,2,5
355,4,0
356,2,5
357,2,5
358,2,5
359,2,5
360,1,4
361,2,5
362,2,5
363,2,5
364,1,4
365,5,2
366,0,1
367,5,2
368,5,2
369,2,5
370,4,0
371,0,1
372,1,4
373,2,5
374,1,4
375,5,2
376,3,3
377,2,5
378,1,4
379,3,3
380,3,3
381,1,4
382,5,2
383,2,5
384,5,2
385,3,3
386,3,3
387,1,4
388,5,2
389,0,1
390,0,1
391,2,5
392,5,2
393,0,1
394,4,0
395,2,5
396,5,2
397,4,0
398,0,1
399,0,1
400,0,1
401,2,5
402,2,5
403,1,4
404,2,5
405,2,5
406,1,4
407,5,2
408,2,5
409,0,1
410,0,1
411,0,1
412,0,1
413,5,2
414,0,1
415,0,1
416,3,3
417,0,1
418,0,1
419,5,2
420,0,1
421,4,0
422,0,1
423,2,5
424,0,1
425,2,5
426,0,1
427,1,4
428,2,5
429,2,5
430,2,5
431,0,1
432,2,5
433,2,5
434,2,5
435,1,4
436,1,4
437,2,5
438,2,5
439,2,5
440,1,4
441,2,5
442,2,5
443,0,1
444,2,5
445,2,5
446,1,4
447,5,2
448,0,1
449,0,1
450,2,5
451,5,2
452,0,1
453,0,1
454,2,5
455,2,5
456,2,5
457,0,1
458,4,0
459,2,5
460,5,2
461,0,1
462,3,3
463,4,0
464,1,4
465,5,2
466,1,4
467,3,3
468,1,4
469,0,1
470,2,5
471,4,0
472,0,1
473,2,5
474,1,4
475,1,4
476,2,5
477,1,4
478,0,1
479,1,4
480,0,1
481,1,4
482,1,4
483,1,4
484,5,2
485,2,5
486,0,1
487,4,0
488,1,4
489,1,4
490,1,4
491,1,4
492,2,5
493,4,0
494,5,2
495,1,4
496,2,5
497,0,1
498,1,4
499,3,3
500,0,1
501,1,4
502,2,5
503,1,4
504,1,4
505,1,4
506,1,4
507,0,1
508,1,4
509,1,4
510,1,4
511,1,4
512,5,2
513,2,5
514,0,1
515,0,1
516,2,5
517,1,4
518,2,5
519,0,1
520,1,4
521,1,4
522,2,5
523,1,4
524,0,1
525,4,0
526,1,4
527,0,1
528,5,2
529,0,1
530,2,5
531,4,0
532,2,5
533,2,5
534,1,4
535,3,3
536,3,3
537,1,4
538,5,2
539,5,2
540,0,1
541,1,4
542,5,2
543,5,2
544,1,4
545,1,4
546,5,2
547,1,4
548,4,0
549,5,2
550,1,4
551,2,5
552,1,4
553,2,5
554,5,2
555,1,4
556,1,4
557,2,5
558,1,4
559,1,4
560,4,0
561,1,4
562,1,4
563,2,5
564,3,3
565,4,0
566,0,1
567,2,5
568,2,5
569,5,2
570,1,4
571,4,0
572,1,4
573,5,2
574,0,1
575,3,3
576,4,0
577,3,3
578,5,2
579,2,5
580,1,4
581,4,0
582,2,5
583,5,2
584,3,3
585,2,5
586,5,2
587,1,4
588,2,5
589,2,5
590,1,4
591,2,5
592,5,2
593,2,5
594,5,2
595,3,3
596,5,2
597,2,5
598,5,2
599,3,3
600,5,2
601,2,5
602,2,5
603,4,0
604,0,1
605,2,5
606,2,5
607,0,1
608,0,1
609,2,5
610,2,5
611,4,0
612,3,3
613,5,2
614,0,1
615,0,1
616,1,4
617,1,4
618,0,1
619,0,1
620,5,2
621,1,4
622,3,3
623,5,2
624,0,1
625,0,1
626,0,1
627,4,0
628,3,3
629,0,1
630,4,0
631,4,0
632,0,1
633,4,0
634,2,5
635,5,2
636,5,2
637,0,1
638,0,1
639,4,0
640,4,0
641,5,2
642,3,3
643,0,1
644,5,2
645,3,3
646,2,5
647,1,4
648,0,1
649,0,1
650,0,1
651,0,1
652,0,1
653,3,3
654,3,3
655,0,1
656,0,1
657,2,5
658,3,3
659,5,2
660,3,3
661,3,3
662,0,1
663,3,3
664,1,4
665,0,1
666,4,0
667,0,1
668,4,0
669,4,0
670,0,1
671,0,1
672,0,1
673,4,0
674,0,1
675,0,1
676,1,4
677,5,2
678,3,3
679,3,3
680,3,3
681,5,2
682,0,1
683,2,5
684,2,5
685,1,4
686,4,0
687,5,2
688,3,3
689,2,5
690,0,1
691,3,3
692,4,0
693,0,1
694,0,1
695,3,3
696,0,1
697,0,1
698,0,1
699,3,3
700,0,1
701,0,1
702,0,1
703,2,5
704,3,3
705,0,1
706,0,1
707,4,0
708,4,0
709,0,1
710,0,1
711,0,1
712,4,0
713,0,1
714,4,0
715,3,3
716,0,1
717,5,2
718,4,0
719,5,2
720,4,0
721,3,3
722,3,3
723,3,3
724,3,3
725,3,3
726,3,3
727,4,0
728,4,0
729,4,0
730,4,0
731,4,0
732,1,4
733,3,3
734,5,2
735,1,4
736,0,1
737,4,0
738,3,3
739,4,0
740,4,0
741,3,3
742,4,0
743,4,0
744,5,2
745,5,2
746,3,3
747,4,0
748,3,3
749,5,2
750,3,3
751,4,0
752,0,1
753,3,3
754,3,3
755,3,3
756,4,0
757,4,0
758,0,1
759,3,3
760,3,3
761,4,0
762,4,0
763,2,5
764,4,0
765,2,5
766,4,0
767,0,1
768,4,0
769,3,3
770,4,0
771,0,1
772,4,0
773,4,0
774,4,0
775,4,0
776,4,0
777,4,0
778,3,3
779,2,5
780,5,2
781,3,3
782,4,0
783,5,2
784,5,2
785,4,0
786,4,0
787,4,0
788,5,2
789,3,3
790,3,3
791,3,3
792,4,0
793,3,3
794,4,0
795,4,0
796,4,0
797,3,3
798,4,0
799,5,2
800,4,0
801,1,4
802,5,2
803,2,5
804,0,1
805,3,3
806,4,0
807,0,1
808,0,1
809,3,3
810,3,3
811,4,0
812,4,0
813,2,5
814,3,3
815,4,0
816,3,3
817,3,3
818,3,3
819,4,0
820,4,0
821,3,3
822,4,0
823,4,0
824,4,0
825,3,3
826,5,2
827,4,0
828,2,5
829,5,2
830,5,2
831,5,2
832,4,0
833,3,3
834,4,0
835,3,3
836,4,0
837,3,3
838,4,0
839,4,0
840,4,0
841,4,0
842,4,0
843,4,0
844,0,1
845,4,0
846,5,2
847,5,2
848,5,2
849,3,3
850,4,0
851,0,1
852,2,5
853,4,0
854,4,0
855,5,2
856,4,0
857,4,0
858,4,0
859,3,3
860,4,0
861,1,4
862,4,0
863,4,0
864,4,0
865,0,1
866,3,3
867,3,3
868,4,0
869,4,0
870,4,0
871,4,0
872,4,0
873,4,0
874,4,0
875,4,0
876,3,3
877,4,0
878,3,3
879,4,0
880,4,0
881,3,3
882,3,3
883,4,0
884,3,3
885,4,0
886,4,0
887,4,0
888,4,0
889,3,3
890,4,0
891,2,5
892,1,4
893,3,3
894,4,0
895,4,0
896,4,0
897,3,3
898,4,0
899,3,3
900,5,2
901,5,2
902,4,0
903,4,0
904,5,2
905,5,2
906,5,2
907,4,0
908,2,5
909,5,2
910,4,0
911,3,3
912,3,3
913,3,3
914,4,0
915,1,4
916,3,3
917,4,0
918,4,0
919,4,0
920,2,5
921,3,3
922,3,3
923,3,3
924,1,4
